Genero, Edad, Promedio, Pregunta_1, Pregunta_2, Pregunta_3, Pregunta_4, Pregunta_5, Pregunta_6, Pregunta_7, Pregunta_8, Pregunta_9, Pregunta_10, ¿Abandono?
H,21,79, Alto, Regular, Si, No, Malo, Medio, No aplica, Si, Medio, No, No abandono
H,20,85, Poco, Pocos, No, No, Bueno, Alto, No aplica, No, Alto, No, No abandono
M,23,81, Poco, Regular, No, No, Medio, Medio, No, No, Bajo, Si, Posible Abandono
M,25,88, Medio, Nulo, Si, No, Bueno, Alto, No, Si, Alto, No, No abandono
M,24,74, Medio, Pocos, Si, No, Medio, Bajo, Si, No, Medio, Si, Posible abandono
H,18,93, Alto, Nulo, Si, No, Bueno, Alto, No aplica, Si, Bajo, No, No abandono
M,27,80, Medio, Regular, Si, Si, Medio, Medio, No, No, Alto, No, No abandono
H,19,90, Medio, Pocos, No, No, Malo, Medio, No aplica, No, Bajo, No, Posible Abandono
H,23,78, Poco, Muchos, No, No, Bueno, Bajo, No aplica, Si, Bajo, Si, Posible Abandono
M,20,91, Poco, Regular, No, Si, Malo, Alto, No, Si, Medio, Si, No abandono
M,28,83, Medio, Pocos, Si, No, Malo, Medio, Si, No, Bajo, Si, Posible Abandono
H,22,75, Poco, Pocos, No, No, Medio, Bajo, No aplica, Si, Medio, Si, Posible Abandono
H,21,96, Alto, Nulo, Si, No, Medio, Alto, No aplica, No, Medio, No, No Abandono
M,24,73, Medio, Muchos, No, No, Medio, Bajo, No aplica, Si, Bajo, No, Posible Abandono
H,19,87, Alto, Muchos, Si, No, Malo, Medio, No aplica, No, Medio, No, No Abandono
H,25,84, Medio, Regular, No, Si, Malo, Medio, No aplica, Si, Bajo, No, No Abandono
H,20,74, Poco, Pocos, Si, No, Medio, Bajo, No aplica, Si, Alto, No, No Abandono
M,23,80, Medio, Regular, No, No, Malo, Medio, Si, No, Bajo, Si, Posible Abandono
M,18,85, Poco, Muchos, No, No, Medio, Medio, No, No, Medio, No, No Abandono
H,26,70, Medio, Regular, No, Si, Malo, Bajo, No aplica, No, Medio, Si, Posible Abandono
M,25,93, Alto, Pocos, Si, No, Medio, Alto, No, Si, Medio, No, No abandono
H,27,82, Poco, Pocos, Si, No, Malo, Bajo, No aplica, No, Bajo, Si, Posible Abandono
H,22,90, Alto, Nulo, No, No, Bueno, Medio, No aplica, Si, Alto, Si, No Abandono
H,20,80, Poco, Regular, Si, No, Medio, Alto, No aplica, No, Medio, No, No Abandono
M,18,74, Poco, Muchos, No, Si, Malo, Medio, No, No, Medio, Si, Posible Abandono
M,25,85, Medio, Nulo, No, No, Bueno, Medio, No, No, Alto, No, No Abandono
